,Type,SampleID,SiteID,Date,Code,Taxon,Abundance,Alkalinity
1,L,1536241,200313,29/04/2010,NI017A,Nitzschia gracilis,1,7
2,L,1536241,200313,29/04/2010,NA9999,Navicula sp.,1,7
3,L,1536241,200313,29/04/2010,CM004A,Cymbella microcephala,17,7
4,L,1536241,200313,29/04/2010,FR009A,Fragilaria capucina,7,7
5,L,1536241,200313,29/04/2010,AC035A,Achnanthes pusilla,2,7
6,L,1536241,200313,29/04/2010,NI009A,Nitzschia palea,1,7
7,L,1536241,200313,29/04/2010,ACHD-02,Achnanthidium pyrenaicum,5,7
8,L,1536241,200313,29/04/2010,TA001A,Tabellaria flocculosa,35,7
9,L,1536241,200313,29/04/2010,AC083A,Achnanthes laevis,1,7
10,L,1536241,200313,29/04/2010,NI020A,Nitzschia angustata,2,7
11,L,1536241,200313,29/04/2010,ZZZ835,Achnanthidium minutissimum type,165,7
12,L,1536241,200313,29/04/2010,FR064A,Fragilaria exigua,10,7
13,L,1536241,200313,29/04/2010,ZZZ949,Psammothidium subatomoides,4,7
14,L,1536241,200313,29/04/2010,BR010A,Brachysira neoexilis,20,7
15,L,1536241,200313,29/04/2010,NI027A,Nitzschia microcephala,1,7
16,L,1536241,200313,29/04/2010,GO023A,Gomphonema truncatum,1,7
17,L,1536241,200313,29/04/2010,FR002B,Fragilaria construens var. binodis,1,7
18,L,1536241,200313,29/04/2010,GO052A,Gomphonema olivaceoides,1,7
19,L,1536241,200313,29/04/2010,CM015A,Cymbella cesatii,1,7
20,L,1536241,200313,29/04/2010,FR9999,Fragilaria sp.,1,7
21,L,1536241,200313,29/04/2010,ZZZ987,Naviculoid (small undiff),3,7
22,L,1536241,200313,29/04/2010,AC039A,Achnanthes didyma fo. didyma,1,7
23,L,1536241,200313,29/04/2010,SY009A,Synedra nana,1,7
24,L,1536241,200313,29/04/2010,AC9999,Achnanthes sp.,4,7
25,L,1536241,200313,29/04/2010,FR006A,Fragilaria brevistriata,1,7
26,L,1536241,200313,29/04/2010,GO013C,Gomphonema parvulum var. exilissimum,10,7
